Baseline,SNR (dB),Semantic Accuracy (%),Accuracy 95% CI,BER (%),BER 95% CI,Cosine Similarity,Energy per Semantic Bit
Conventional Shannon,-20,50.980000000000004,0.2557447442709668,49.02,0.25574474427096683,0.5098,184.31240768543375
Conventional Shannon,-10,54.47749999999999,0.32586821586511194,45.52250000000001,0.32586821586511194,0.5447749999999999,6.458040160050156
Conventional Shannon,0,61.931666666666665,0.2610364424678979,38.068333333333335,0.26103644246789814,0.6193166666666666,0.8866716501648889
Conventional Shannon,10,65.86666666666667,0.26726178316538374,34.13333333333332,0.2672617831653838,0.6586666666666667,0.4790956791012953
Conventional Shannon,20,66.52333333333334,0.30436090394768495,33.47666666666667,0.304360903947685,0.6652333333333335,0.4378566737444603
Non-RIS CSC,-20,50.99583333333333,0.3148826345140659,49.00416666666667,0.31488263451406556,0.7103906797866026,187.31054026286174
Non-RIS CSC,-10,54.540833333333325,0.3224953142926896,45.45916666666667,0.3224953142926898,0.7160461626946926,6.4499624268343245
Non-RIS CSC,0,61.81916666666667,0.29287887782165895,38.18083333333334,0.2928788778216586,0.7486266329884529,0.8910910660731476
Non-RIS CSC,10,65.87999999999998,0.22645564392760664,34.11999999999999,0.22645564392760592,0.7753997186819712,0.4800731123910459
Non-RIS CSC,20,66.59833333333334,0.2647706719799996,33.40166666666667,0.26477067198000004,0.7425792932510376,0.436913227663026
RIS without Adaptation,-20,62.11083333333334,0.3070204722936356,37.889166666666654,0.30702047229363605,0.7388807699084282,0.8789876163513438
RIS without Adaptation,-10,65.89916666666667,0.21261562858482058,34.10083333333333,0.21261562858482075,0.7555102015535037,0.48006964071859476
RIS without Adaptation,0,66.51416666666667,0.29120719497877695,33.48583333333333,0.29120719497877684,0.7602600092689197,0.4392238593874001
RIS without Adaptation,10,66.78,0.2461124964094448,33.21999999999999,0.24611249640944477,0.7531731143593788,0.4357113953324233
RIS without Adaptation,20,66.68583333333333,0.21961724119392306,33.31416666666666,0.219617241193923,0.762987079222997,0.4326301368385445
Proposed System,-20,61.67083333333333,0.2528037362739601,38.329166666666666,0.25280373627396036,0.7385642806688945,0.8865156363863301
Proposed System,-10,65.94083333333333,0.3188765608728144,34.05916666666666,0.3188765608728149,0.7615660081307093,0.477555244710316
Proposed System,0,66.40416666666667,0.2727625914532568,33.59583333333334,0.272762591453257,0.7622962442537149,0.44127495105407577
Proposed System,10,66.59583333333333,0.1977086862776383,33.40416666666667,0.19770868627763846,0.7569395057857037,0.4364642286260614
Proposed System,20,66.55833333333334,0.21150668144599175,33.44166666666666,0.21150668144599197,0.7529613067706425,0.4361650300774349
